ID,CREATE DATE,Status,Shortage Type,Primary Usages,Household Support,Water Issues,Approximate Issue Start Date,County,CITY,LATITUDE,LONGITUDE,Well Depth,Was Issue Resolved?,Approximate Repair Cost,Additional Info,Well to Water Depth,Measure Date,Pump Rate Reduction,Report Date,StatusType,Region
4937,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.062289,-118.997143,50',,,,,,,08/22/2014,Resolved,Inland
4938,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.061997,-118.997016,,,,,,,,08/22/2014,Resolved,Inland
4939,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.061986,-118.995889,,,,,,,,08/22/2014,Resolved,Inland
4940,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.061728,-118.986059,,,,,,,,08/22/2014,Resolved,Inland
4941,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.054392,-118.967577,20',,,,,,,08/22/2014,Resolved,Inland
4942,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.061053,-118.987374,55 feet,,,,,,,08/22/2014,Resolved,Inland
4943,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.0607789,-118.986751,,,,,,,,08/22/2014,Resolved,Inland
4944,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.060545,-118.997055,,,,,,,,08/22/2014,Resolved,Inland
4945,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.060065,-118.99802,,,,,,,,08/22/2014,Resolved,Inland
4946,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.0596559,-118.98823,,,,,,,,08/22/2014,Resolved,Inland
4947,08/12/2016,Interim Solution,Dry well (groundwater),Household,renter-occupied,"Well is dry (no longer producing water)
",,Tulare,Dinuba,36.492943,-119.3359241,,,,,,,,08/22/2014,Resolved,Inland
4948,08/12/2016,Resolved,Dry well (groundwater),Household,renter-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.057701,-118.999951,30',,,,,,,08/22/2014,Resolved,Inland
4950,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.057193,-118.999952,,,,,,,,08/22/2014,Resolved,Inland
4951,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.057038,-118.999951,30',,,,,,,08/22/2014,Resolved,Inland
4952,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.056841,-118.999952,30',,,,,,,08/22/2014,Resolved,Inland
4953,08/12/2016,Resolved,Dry well (groundwater),Household,renter-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.0563751,-118.993137,,,,,,,,08/22/2014,Resolved,Inland
4954,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.056952,-119.00288,90',,,,,,,08/22/2014,Resolved,Inland
4956,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.057972,-119.002504,30',,,,,,,08/22/2014,Resolved,Inland
4957,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.057154,-119.001559,,,,,,,,08/22/2014,Resolved,Inland
4958,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.056895,-119.001336,30 Feet,,,,,,,08/22/2014,Resolved,Inland
4959,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.05665219999999,-118.999161,,,,,,,,08/22/2014,Resolved,Inland
4960,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.06298,-118.998132,,,,,,,,08/22/2014,Resolved,Inland
4961,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.055272,-118.996436,30',,,,,,,08/22/2014,Resolved,Inland
4962,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Tulare,36.237991,-119.358445,,,,,,,,09/23/2014,Resolved,Inland
4963,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.061561,-118.986058,,,,,,,,08/22/2014,Resolved,Inland
4964,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.052644,-119.01246,,,,,,,,08/22/2014,Resolved,Inland
4965,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.056087,-118.986045,,,,,,,,09/04/2014,Resolved,Inland
4966,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Dinuba,36.490957,-119.334814,90',,,,,,,09/08/2014,Resolved,Inland
4967,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.0560059,-118.994902,,,,,,,,09/16/2014,Resolved,Inland
4968,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.056589,-118.993193,,,,,,,,09/30/2014,Resolved,Inland
4969,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.0559819,-118.9694059,,,,,,,,09/30/2014,Resolved,Inland
4970,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.112354,-119.068765,,,,,,,,10/03/2014,Resolved,Inland
4971,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.05967400000001,-118.997981,60',,,,,,,09/18/2014,Resolved,Inland
4972,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.086426,-119.016244,108 ft,,,,,,,09/16/2014,Resolved,Inland
4973,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.052663,-119.012782,,,,,,,,10/02/2014,Resolved,Inland
4974,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.060163,-119.001365,,,,,,,,10/07/2014,Resolved,Inland
4975,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.059862,-118.971178,,,,,,,,10/07/2014,Resolved,Inland
4976,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.05506099999999,-118.989599,,,,,,,,10/08/2014,Resolved,Inland
4978,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.053695,-119.013089,,,,,,,,10/16/2014,Resolved,Inland
4979,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.054324,-119.012791,,,,,,,,10/16/2014,Resolved,Inland
4980,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.057529,-118.971184,,,,,,,,10/16/2014,Resolved,Inland
4981,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.061895,-118.988235,,,,,,,,10/16/2014,Resolved,Inland
4982,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Lindsay,36.158584,-119.133946,140',,,,,,,08/10/2014,Resolved,Inland
4983,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.055269,-118.995009,30',,,,,,,10/16/2014,Resolved,Inland
4984,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.059424,-118.986678,60',,,,,,,10/16/2014,Resolved,Inland
4985,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.061516,-118.997158,65',,,,,,,10/16/2014,Resolved,Inland
4987,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.059254,-118.971176,,,,,,,,10/16/2014,Resolved,Inland
4991,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.035205,-119.034552,144 ft,,,,,,,10/16/2014,Resolved,Inland
4994,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.053702,-118.984674,40',,,,,,,10/16/2014,Resolved,Inland
4995,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.044013,-118.95944,,,,,,,,06/17/2015,Resolved,Inland
4997,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.035492,-119.033848,188,,,,,,,10/15/2014,Resolved,Inland
4998,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.052949,-118.980677,30',,,,,,,10/14/2014,Resolved,Inland
4999,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.060751,-119.037457,150',,,,,,,10/17/2014,Resolved,Inland
5001,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.0551504,-118.9775463,,,,,,,,10/16/2014,Resolved,Inland
5002,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",05/01/2014,Tulare,Porterville,36.078578,-119.095613,85',"No, trucking in water
,No, cannot afford to finance solutions
",,,,,,10/16/2014,Resolved,Inland
5003,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.05565,-118.978222,,,,,,,,10/16/2014,Resolved,Inland
5004,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.0559515,-118.9694178,,,,,,,,10/16/2014,Resolved,Inland
5005,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.0527019,-119.013628,53',,,,,,,10/16/2014,Resolved,Inland
5006,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.055973,-118.992798,,,,,,,,10/16/2014,Resolved,Inland
5007,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.02269,-119.034867,,,,,,,,01/30/2015,Resolved,Inland
5008,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",06/27/2022,Tulare,Porterville,36.065817,-119.087703,,,,,,,,06/27/2022,Resolved,Inland
5010,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.056699,-118.99155,,,,,,,,10/16/2014,Resolved,Inland
5011,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.05643,-118.992748,,,,,,,,10/16/2014,Resolved,Inland
5012,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.057162,-118.999024,,,,,,,,10/16/2014,Resolved,Inland
5013,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.054128,-118.984377,unknown,,,,,,,10/16/2014,Resolved,Inland
5014,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.029961,-119.005291,,,,,,,,10/16/2014,Resolved,Inland
5015,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.061708,-118.997014,,,,,,,,10/16/2014,Resolved,Inland
5016,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.061844,-118.97305,,,,,,,,10/16/2014,Resolved,Inland
5018,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Kaweah,36.472974,-118.918781,9',,,,,,,10/22/2014,Resolved,Inland
5019,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.0530652,-118.960947,40-50',,,,,,,10/22/2014,Resolved,Inland
5020,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Exeter,36.296408,-119.160986,,,,,,,,10/23/2014,Resolved,Inland
5021,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.0515101,-119.0101546,50',,,,,,,10/27/2014,Resolved,Inland
5022,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Dinuba,36.5365305,-119.3226582,,,,,,,,10/22/2014,Resolved,Inland
5024,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.061503,-118.983788,,,,,,,,11/13/2014,Resolved,Inland
5025,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.0775925,-119.1431153,,,,,,,,07/16/2014,Resolved,Inland
5026,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Goshen,36.3490785,-119.466295,,,,,,,,11/21/2014,Resolved,Inland
5028,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.059949,-118.98716,,,,,,,,11/21/2014,Resolved,Inland
5029,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Visalia,36.372956,-119.271982,,,,,,,,07/30/2014,Resolved,Inland
5030,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.060372,-118.983786,,,,,,,,11/21/2014,Resolved,Inland
5031,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.109288,-119.052843,300',,,,,,,11/21/2014,Resolved,Inland
5032,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Tulare,36.20431,-119.468047,140',,,,,,,09/02/2014,Resolved,Inland
5033,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Tulare,36.19865,-119.237292,"125' private well, 150' agricultural",,,,,,,11/24/2014,Resolved,Inland
5034,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.056011,-118.996775,,,,,,,,12/04/2014,Resolved,Inland
5036,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Visalia,36.375811,-119.293832,,,,,,,,12/04/2014,Resolved,Inland
5037,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.10161799999999,-119.0489597,,,,,,,,12/11/2014,Resolved,Inland
5038,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.048627,-118.996284,,,,,,,,12/11/2014,Resolved,Inland
5039,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.032678,-119.030065,,,,,,,,12/11/2014,Resolved,Inland
5040,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.056877,-118.995128,,,,,,,,12/18/2014,Resolved,Inland
5041,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Visalia,36.375979,-119.298033,120',,,,,,,12/19/2014,Resolved,Inland
5042,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Exeter,36.252885,-119.170238,Either 180' or 200',,,,,,,12/30/2014,Resolved,Inland
5043,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.061902,-118.986658,60,,,,,,,12/19/2014,Resolved,Inland
5045,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Tulare,36.268066,-119.296081,195',,,,,,,01/15/2015,Resolved,Inland
5047,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Tulare,36.206174,-119.468001,170',,,,,,,01/20/2015,Resolved,Inland
5048,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Exeter,36.25258,-119.135695,240',,,,,,,01/30/2015,Resolved,Inland
5049,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.058608,-118.988228,,,,,,,,01/28/2015,Resolved,Inland
5050,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.056401,-118.996479,,,,,,,,01/29/2015,Resolved,Inland
5051,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.1012879,-119.048373,70-110',,,,,,,02/12/2015,Resolved,Inland
5052,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Strathmore,36.144549,-119.124993,100',,,,,,,02/09/2015,Resolved,Inland
5053,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.059659,-118.971177,60',,,,,,,02/05/2015,Resolved,Inland
5054,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Dinuba,36.499006,-119.338115,70',,,,,,,02/12/2015,Resolved,Inland
5055,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Tulare,36.203788,-119.470357,,,,,,,,02/12/2015,Resolved,Inland
5056,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Visalia,36.479583,-119.222432,85',,,,,,,02/13/2015,Resolved,Inland
5057,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.062979,-118.997615,,,,,,,,02/19/2015,Resolved,Inland
5059,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.057164,-119.001952,,,,,,,,02/24/2015,Resolved,Inland
5060,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.079111,-119.141386,,,,,,,,02/25/2015,Resolved,Inland
5061,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.050386,-118.998366,,,,,,,,02/26/2015,Resolved,Inland
5062,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.054505,-118.968748,,,,,,,,02/26/2015,Resolved,Inland
5064,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.061808,-118.983379,,,,,,,,03/10/2015,Resolved,Inland
5065,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Visalia,36.2838799,-119.3208785,150',,,,,,,03/16/2015,Resolved,Inland
5066,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.06011,-119.001153,,,,,,,,03/06/2015,Resolved,Inland
5067,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.0617174,-118.98185,,,,,,,,03/13/2015,Resolved,Inland
5068,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.061056,-118.986753,,,,,,,,03/06/2015,Resolved,Inland
5070,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Woodlake,36.3913562,-119.0799129,148',,,,,,,03/25/2015,Resolved,Inland
5071,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.05441,-118.967756,,,,,,,,03/20/2015,Resolved,Inland
5072,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.055268,-118.960552,,,,,,,,03/20/2015,Resolved,Inland
5074,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.086768,-119.104789,,,,,,,,03/20/2015,Resolved,Inland
5075,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Exeter,36.334313,-119.151053,,,,,,,,03/25/2015,Resolved,Inland
5077,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Tulare,36.226113,-119.375933,,,,,,,,03/23/2015,Resolved,Inland
5078,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",01/01/2014,Tulare,Ivanhoe,36.397912,-119.232122,,,,,,,,03/24/2015,Resolved,Inland
5079,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Exeter,36.253659,-119.117734,,,,,,,,03/26/2015,Resolved,Inland
5081,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Strathmore,36.153281,-119.1741,190',,,,,,,03/06/2015,Resolved,Inland
5082,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.055235,-118.979004,110',,,,,,,04/06/2015,Resolved,Inland
5083,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
,Well is not hooked up, ran dry when the ditch did
,Well is pumping sand, muddy water.
",07/01/2014,Tulare,Three Rivers,36.453798,-118.913185,25',"No, cannot afford to finance solutions
",,,,,,04/03/2015,Resolved,Inland
5084,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.055355,-118.962689,,,,,,,,04/06/2015,Resolved,Inland
5085,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.060281,-118.972587,,,,,,,,03/06/2015,Resolved,Inland
5086,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.053275,-118.984664,unknown.,,,,,,,03/26/2015,Resolved,Inland
5087,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Tulare,36.20618,-119.469849,,,,,,,,04/06/2015,Resolved,Inland
5088,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.054541,-118.969024,,,,,,,,04/06/2015,Resolved,Inland
5089,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.0612873,-118.981644,,,,,,,,03/26/2015,Resolved,Inland
5090,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.056181,-118.986888,100',,,,,,,03/06/2015,Resolved,Inland
5091,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.105948,-119.07168,85',,,,,,,04/08/2015,Resolved,Inland
5092,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.065192,-119.0884702,Possibly 170',,,,,,,04/14/2015,Resolved,Inland
5093,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Visalia,36.285201,-119.320087,150',,,,,,,04/09/2015,Resolved,Inland
5094,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Tulare,36.207073,-119.46666,148',,,,,,,04/10/2015,Resolved,Inland
5095,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Tulare,36.203235,-119.471944,199',,,,,,,04/10/2015,Resolved,Inland
5097,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.056615,-119.118688,132',,,,,,,04/16/2015,Resolved,Inland
5098,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.0550559,-118.958348,30',,,,,,,04/14/2015,Resolved,Inland
5099,08/12/2016,Interim Solution,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.0407269,-119.012543,,,,,,,,04/14/2015,Resolved,Inland
5100,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.0632711,-118.9972354,,,,,,,,04/14/2015,Resolved,Inland
5101,08/12/2016,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",,Tulare,Porterville,36.053986,-118.983643,,,,,,,,04/21/2015,Resolved,Inland
